Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SP500TR,12/7/2016,4219.970215,4278.930176,4216.77002,4278.439941,4278.439941,0
SP500TR,12/8/2016,4278.450195,4298.529785,4271.649902,4288.100098,4288.100098,0
SP500TR,12/9/2016,4294.899902,4314.100098,4293.939941,4313.609863,4313.609863,0
SP500TR,12/12/2016,4312.5,4322.319824,4300.169922,4308.939941,4308.939941,0
SP500TR,12/13/2016,4321.819824,4348.890137,4321.819824,4337.859863,4337.859863,0
SP500TR,12/14/2016,4331.709961,4346.649902,4294.129883,4302.930176,4302.930176,0
SP500TR,12/15/2016,4304.060059,4339.109863,4304.060059,4319.839844,4319.839844,0
SP500TR,12/16/2016,4329.080078,4331.390137,4305.080078,4312.399902,4312.399902,0
SP500TR,12/19/2016,4314.72998,4330.339844,4312.919922,4321.02002,4321.02002,0
SP500TR,12/20/2016,4329.220215,4340.759766,4328.549805,4337.359863,4337.359863,0
SP500TR,12/21/2016,4337.089844,4338.399902,4326.830078,4326.850098,4326.850098,0
SP500TR,12/22/2016,4323.100098,4323.310059,4310.049805,4319.330078,4319.330078,0
SP500TR,12/23/2016,4318.410156,4325.169922,4315.709961,4325.169922,4325.169922,0
SP500TR,12/27/2016,4329.870117,4344.259766,4329.870117,4334.930176,4334.930176,0
SP500TR,12/28/2016,4338.25,4340.299805,4297.919922,4299.450195,4299.450195,0
SP500TR,12/29/2016,4298.859863,4308.370117,4289.419922,4298.390137,4298.390137,0
SP500TR,12/30/2016,4303.089844,4306.700195,4268.709961,4278.660156,4278.660156,0
SP500TR,1/3/2017,4303.120117,4326.529785,4290.850098,4315.080078,4315.080078,0
SP500TR,1/4/2017,4323.259766,4344.689941,4323.259766,4340.75,4340.75,0
SP500TR,1/5/2017,4335.890137,4342.240234,4321.149902,4337.450195,4337.450195,0
SP500TR,1/6/2017,4342.879883,4363.830078,4329.350098,4354.049805,4354.049805,0
SP500TR,1/9/2017,4347.580078,4351.209961,4338.609863,4338.620117,4338.620117,0
SP500TR,1/10/2017,4340.209961,4358.450195,4331.779785,4338.640137,4338.640137,0
SP500TR,1/11/2017,4338.470215,4351.319824,4323.709961,4351.319824,4351.319824,0
SP500TR,1/12/2017,4343.419922,4344.339844,4311.220215,4342.089844,4342.089844,0
SP500TR,1/13/2017,4346.47998,4357.709961,4344.129883,4350.109863,4350.109863,0
SP500TR,1/17/2017,4339.600098,4345.220215,4327.490234,4337.200195,4337.200195,0
SP500TR,1/18/2017,4340.310059,4345.779785,4329.450195,4345.569824,4345.569824,0
SP500TR,1/19/2017,4345.669922,4350.299805,4319.870117,4329.959961,4329.959961,0
SP500TR,1/20/2017,4342.080078,4355.410156,4332.720215,4344.669922,4344.669922,0
SP500TR,1/23/2017,4338.040039,4345.689941,4317.450195,4333.100098,4333.100098,0
